,model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway
766,PORSCHE Boxster,2.7,6,Auto-L5,2WD,Gasoline,small car,7,19.0,26.0,21.0,6,yes
767,PORSCHE Boxster,2.7,6,Man-6,2WD,Gasoline,small car,7,19.0,28.0,22.0,6,yes
768,PORSCHE Boxster,2.7,6,Man-5,2WD,Gasoline,small car,7,20.0,29.0,23.0,7,yes
769,PORSCHE Boxster S,3.4,6,Auto-L5,2WD,Gasoline,small car,7,18.0,25.0,21.0,6,yes
770,PORSCHE Boxster S,3.4,6,Man-6,2WD,Gasoline,small car,7,18.0,26.0,21.0,6,yes
771,PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
772,PORSCHE Carrera Cabriolet,3.6,6,Man-6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
773,PORSCHE Carrera Cabriolet,3.6,6,Auto-L5,2WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
774,PORSCHE Carrera Cabriolet,3.6,6,Man-6,2WD,Gasoline,small car,6,18.0,26.0,21.0,6,no
775,PORSCHE Carrera Coupe,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
776,PORSCHE Carrera Coupe,3.6,6,Man-6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
777,PORSCHE Carrera Coupe,3.6,6,Auto-L5,2WD,Gasoline,small car,6,18.0,24.0,20.0,6,no
778,PORSCHE Carrera Coupe,3.6,6,Man-6,2WD,Gasoline,small car,6,18.0,26.0,21.0,6,no
779,PORSCHE Carrera Targa,3.6,6,Auto-L5,4WD,Gasoline,small car,6,17.0,24.0,19.0,5,no
780,PORSCHE Carrera Targa,3.6,6,Man-6,4WD,Gasoline,small car,6,17.0,25.0,20.0,6,no
781,PORSCHE Cayenne,3.6,6,Man-6,4WD,Gasoline,SUV,6,14.0,20.0,16.0,4,no
782,PORSCHE Cayenne,3.6,6,Auto-L6,4WD,Gasoline,SUV,6,14.0,20.0,16.0,4,no
783,PORSCHE Cayenne S,4.8,8,Auto-L6,4WD,Gasoline,SUV,7,13.0,19.0,15.0,3,no
784,PORSCHE Cayenne Turbo,4.8,8,Auto-L6,4WD,Gasoline,SUV,6,12.0,19.0,14.0,2,no
